Code,Flag,Info,SubInfo,SubContents,Contents
SET,0,Member,,IDLE,"오스카,라비"
TALK,0,오스카,,IDLE,"말을 했잖아. 왜 더 듣지 않은 거야? 나쁜 판단이었다고 보는데. (총구를 내리면서 총을 쥔 손을 편하게 두었다.)"
SYSTEM,0,,,,시스템 설명입니다.
SYSTEM,0,,,,이런 식으로 띄울 예정입니다.
TALK,0,라비,,TALK,"난 너한테 위험하다고 판단했으니까.. 반사적으로.. (가리킨 타일 앞에 쭈그려 앉더니) 그보다 이거 좀 들어줘. 오즈."
TALK,0,오스카,,IDLE,"(짧은 한숨을 내쉬곤)...(네게 다가가서 앞에 쭈그려 앉았다.) 이게 뭔데."
TALK,0,라비,,IDLE,"여기만 재질이 다른 게 아무래도 이 아래 뭔가 있을 것 같아. 혹시.. 벙커일지도.."
TALK,0,오스카,,IDLE,"....(너 가만히 보다가 이마에 남은 피를 손가락으로 한 번 쓸어보곤 네 말을 따른다.)"
TALK,0,라비,,IDLE,"(이마를 닦아주는 네 손길에 살짝 움찔하더니) .. 고마워 오즈."
TALK,0,,,IDLE,"탐사자가 손끝을 밀어 넣고 타일을 걷어내면,"
TALK,0,,,IDLE,"아! 생존자들이 숨어있던 벙커를 발견합니다."
TALK,0,,,IDLE,"대피 구역이 전부 크리쳐에게 점령되어 어쩔 수 없이 이곳에 숨어있었군요."
TALK,0,,,IDLE,"쓰러진 와중에 바로 재질 차의 이상함을 알아차리다니, 역시 라비입니다."
TALK,0,,,IDLE,"이것으로 구출 성공입니다."
TALK,0,,,IDLE,"구해진 사람들이 두 사람에게 계속해서 감사를 표합니다."
TALK,0,ㅁㅁㅁ,,IDLE,"아, 정말 살았어요."
TALK,0,ㅇㅇㅇ,,IDLE,"말로만 듣던 분들을 만나게 될 줄은 몰랐습니다."
TALK,0,ㅎㅎㅎ,,IDLE,"이제 우린 안전해!"
TALK,0,ㅌㅌㅌ,,IDLE,"아아, 신이시여……."
TALK,0,,,IDLE,"남녀노소 가릴 것 없이 생존자들은 바깥 공기를 마시며 얼싸안고 눈물을 흘립니다."
TALK,0,,,,'"최강의 인류'라고 불리는 오스카와 라비를 신기한 듯 보는 사람들도 있습니다."
TALK,0,,,IDLE,"사인을 요청하거나, 심지어는 배터리가 얼마 남지 않은 핸드폰을 들이밀며 같이 사진을 찍어달라고 합니다."
TALK,0,,,IDLE,"물론 거절해야 합니다. 우린 연예인이 아닌걸요!"
TALK,0,오스카,,IDLE,"(연예인이었어도 거절했을 표정으로 바라보기)"
TALK,0,라비,,IDLE,"(어색하게 웃으며) 미..미안해요. 그건 좀.. 저흰 해야할 일을 했을 뿐인걸요..."
TALK,0,,,IDLE,"거절당한 사람들의 표정은 좋지 않습니다."
TALK,0,,,IDLE,"좋지 않을 뿐만 아니라 경악에 물든 것 같아, 민망할 지경입니다."
TALK,0,,,IDLE,"덩달아 이쪽을 보기 시작하는 사람들의 표정 역시 최악이네요."
TALK,0,,,IDLE,"그래요, 벙커 안에만 있기 힘들었겠죠."
TALK,0,,,IDLE,"전부 이해할 수 있습니다."
TALK,0,,,IDLE,"그들의 고통을 생각하니 탐사자의 마음까지 덩달아 쓰라려 옵니다...?"
TALK,0,,,IDLE,"아니, 마음이 아픈가요?"
TALK,0,,,IDLE,"울컥IDLE,"
TALK,0,,,IDLE,"하고 혈액 덩어리를 뱉은 탐사자는 그제야 '뾰족한 무언가'가 가슴을 관통했다는 사실을 깨닫습니다."
